Name,Price,Duration,Category,Development Time,online,info
Full Colour ,65,30,Colour,30,1,
HD Brow Full Treatment,35,45,Beauty Bar,5,1,
Spa Pedicure,60,70,Nails,0,1,
Acrylic extensions,55,90,Nails,0,1,
Acrylic extensions refill,45,75,Nails,0,1,
Acrylic overlay,45,80,Nails,0,1,
Add on - LightTherapy,15,20,Facials,0,1,
Add on spa manicure,15,15,Nails,0,1,Add on Gel Polish to your pedicure for beautiful polished nails that last 3+ weeks!
Back 1hr,70,75,Massage,15,1,
Back 30,50,45,Massage,0,1,
Balayage / Foilage / Ombre,100,45,Colour,30,1,
Bespoke,70,75,Facials,0,1,
BIAB,32,70,Nails,0,1,
BIAB with Colour,35,75,Nails,0,1,
Bikini line,20,20,Waxing,0,1,
Bleach Up ,95,40,Colour,40,0,
Blowdry,0,30,Styling,0,0,
Boys Cut,12,30,Cutting,0,1,
Brow Lamination,50,75,Beauty Bar,0,1,
Brow Tint & Tidy,18,15,Beauty Bar,0,1,
Chemical Blowdry,200,180,Treatments,0,0,
Chemical Blowdry,300,180,Styling,0,1,
Consultation,0,15,Extensions,0,1,
Curls/Waves,21,30,Styling,0,1,
Curly Blowdry,28,45,Styling,0,1,
Curly Cut,55,65,Cutting,0,1,
Cut & Blowdry + colour,25,45,Cutting,0,1,
design /french,5,1,Nails,0,1,
Easilock Tape Extensions,0,150,Extensions,0,1,
Easilocks Extensions ,0,180,Extensions,0,0,
Express,45,45,Facials,0,1,
Extended Bikini,50,45,Waxing,0,1,
Extensions Blowdry,33,45,Styling,0,1,
Extensions Removal,50,45,Extensions,0,1,
face frame,50,30,Hi Lites,30,1,
file & shape,15,30,Nails,0,1,
Flood lites,20,15,Hi Lites,0,1,
Fringe Trim,5,15,Cutting,0,1,
Full Body,75,90,Massage,0,1,
Full Head ,100,60,Hi Lites,45,1,
Full Leg,35,45,Waxing,0,1,
Gel polish,28,45,Nails,0,1,
Gel Polish Toes,25,45,Nails,0,1,
Gents Cut,20,30,Cutting,0,1,
glycolic/ lctic facial peel,85,90,Facials,0,1,
Half Head ,85,45,Hi Lites,45,1,
Half Leg,20,30,Waxing,0,1,
HD Brows Mini Treatment,25,30,Beauty Bar,0,1,
Hopi Ear + head massage,30,45,Massage,0,1,
Hot stone massage,80,60,Massage,0,1,
K18 Treatment,20,5,Treatments,0,1,
Kids Dry Cut,15,20,Cutting,0,1,
Kids Upstyle,25,30,Styling,0,1,
Lash Lift,45,65,Beauty Bar,0,1,
Lash Tint,15,15,Beauty Bar,0,1,
Lip & Chin Wax,15,15,Beauty Bar,0,1,
Long Blowdry,30,45,Styling,0,1,
Long Cut & Blow,50,45,Cutting,0,1,
Maintenance,120,180,Extensions,0,0,
Makeup,35,60,Makeup,0,1,
makeup + Lashes,40,60,Makeup,0,1,
Malibu C detox,45,20,Treatments,0,1,
manicure,22,30,Nails,0,1,
Masking,40,15,Colour,30,1,
Medium Blowdry,25,30,Styling,0,1,
Medium Cut & Blow,45,45,Cutting,0,1,
Olaplex Treatment,20,2,Treatments,0,1,
Reconstruction Mask,10,2,Treatments,0,1,
Remove gel polish,15,30,Nails,0,1,
Root Touch-Up,55,30,Colour,30,1,
Short Blowdry,19,30,Styling,0,1,
Short Cut&Blow,39,40,Cutting,0,1,
Single Session,150,105,Dermapen,0,1,
Spray Tan,25,30,Beauty Bar,0,1,
Spray Tan Half Body,20,30,Beauty Bar,0,1,
T Parting Maintenance ,70,150,Extensions,0,0,
T-Bar ,70,35,Hi Lites,45,1,
Teen Cut&Blow,30,45,Cutting,0,1,
tint or wax,10,10,Beauty Bar,0,1,
Toner/Gloss,15,15,Hi Lites,0,1,
Under12 Cut&Blow,22,30,Cutting,0,1,
Underarm,15,15,Waxing,0,1,
Upstyle,35,45,Styling,0,1,